County,Martin J. O'MALLEY,"Bernard ""Bernie"" SANDERS",Hillary CLINTON,Roque Rocky De La FUENTE,UNCOMMITTED  
Adair,18,410,466,2,43
Allen,5,440,427,6,50
Anderson,74,1649,1132,22,267
Ballard,34,659,405,0,169
Barren,97,2653,1979,23,568
Bath,14,641,628,8,86
Bell,32,578,567,4,87
Boone,54,2496,2932,12,164
Bourbon,41,1087,1109,5,143
Boyd,76,2262,2193,14,362
Boyle,40,1451,1648,13,151
Bracken,32,424,251,8,57
Breathitt,54,1716,1123,33,388
Breckinridge,38,875,877,7,113
Bullitt,95,3210,2907,20,311
Butler,8,196,238,2,22
Caldwell,35,866,570,12,179
Calloway,64,2239,1460,20,290
Campbell,51,3133,3169,13,223
Carlisle,18,462,206,5,113
Carroll,8,573,481,7,90
Carter,39,1051,800,14,140
Casey,6,182,210,0,16
Christian,88,1936,2437,17,379
Clark,46,1888,1810,17,215
Clay,4,158,184,4,30
Clinton,4,93,151,2,11
Crittenden,14,344,240,9,67
Cumberland,1,87,78,0,8
Daviess,161,5188,5066,47,674
Edmonson,4,262,275,0,15
Elliott,17,443,301,7,75
Estill,12,440,446,3,36
Fayette,189,17048,20014,57,597
Fleming,25,806,627,6,78
Floyd,161,4010,2327,64,857
Franklin,159,5398,5218,59,745
Fulton,17,245,315,6,93
Gallatin,12,340,260,3,44
Garrard,7,387,434,3,29
Grant,41,715,594,7,95
Graves,101,2631,1631,36,727
Grayson,18,630,705,2,58
Green,14,360,284,3,42
Greenup,54,1655,1517,12,229
Hancock,17,573,491,4,69
Hardin,113,4208,4359,29,406
Harlan,47,1092,451,17,131
Harrison,47,1059,886,12,136
Hart,42,1062,817,12,125
Henderson,88,2850,2887,19,803
Henry,37,958,781,11,136
Hickman,11,300,209,4,120
Hopkins,125,2696,1690,26,630
Jackson,3,128,78,1,7
Jefferson,622,45048,64090,141,1861
Jessamine,55,2113,1875,11,191
Johnson,29,749,444,11,116
Kenton,86,4880,5146,34,358
Knott,42,1114,583,16,138
Knox,17,504,520,4,41
Larue,39,910,612,12,191
Laurel,12,791,845,4,70
Lawrence,38,659,444,5,111
Lee,8,224,199,3,30
Leslie,1,77,64,0,4
Letcher,71,1788,838,25,421
Lewis,15,151,211,4,27
Lincoln,21,742,779,7,83
Livingston,17,610,400,9,128
Logan,50,1131,1077,9,194
Lyon,23,561,497,8,139
Madison,84,4385,3441,24,338
Magoffin,17,626,511,4,38
Marion,30,983,1162,9,126
Marshall,112,2308,1577,27,515
Martin,12,191,104,5,21
Mason,26,775,727,4,116
McCracken,112,3541,3334,29,600
McCreary,10,203,169,2,19
McLean,35,628,477,11,102
Meade,59,1541,1312,21,198
Menifee,14,323,311,3,43
Mercer,38,1331,988,12,161
Metcalfe,20,582,506,8,98
Monroe,1,109,126,1,11
Montgomery,37,1322,1289,8,156
Morgan,35,988,544,7,149
Muhlenberg,58,1632,1544,13,321
Nelson,64,2345,2395,22,202
Nicholas,17,420,353,2,45
Ohio,45,943,778,11,109
Oldham,37,2315,2730,4,126
Owen,33,720,453,8,96
Owsley,5,91,77,1,4
Pendleton,30,546,388,7,90
Perry,68,1666,839,24,196
Pike,285,4848,2335,62,1403
Powell,21,744,623,8,72
Pulaski,24,1148,1169,11,112
Robertson,8,177,95,2,15
Rockcastle,2,254,238,5,22
Rowan,25,1363,1170,15,87
Russell,7,332,343,4,25
Scott,44,2394,2505,9,207
Shelby,74,2044,2195,13,263
Simpson,26,695,708,6,107
Spencer,22,806,673,7,67
Taylor,18,844,949,7,67
Todd,18,507,333,2,88
Trigg,29,715,604,13,119
Trimble,21,542,415,7,98
Union,60,1106,672,19,388
Warren,108,5365,4829,27,423
Washington,16,582,601,9,71
Wayne,13,356,502,7,25
Webster,65,1169,693,16,468
Whitley,12,409,522,4,47
Wolfe,2,499,414,11,58
Woodford,46,1918,1862,10,187
Totals:,5703,210626,212550,1593,24101
